Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentuemer;OK Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergaenzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
844;Hinter Schlattalp Ober Stafel Schacht 2;Obstwuchs;Glarus;8750;713865;207325;;Gde. Glarus;1682;0;71320703;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Eisendeckel;Brunnenstube;Feldaufnahmen;Kaspar Figi, Werkführer Glarus;;;22;23;;;keine vorh.;1;nein;R. Brunner;16.07.1998;37;16.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
845;Bächi;Bächistafel;Glarus;8750;715840;205950;;Gde. Netstal;1820;;71520501;aus Plan gelesen;Trinkwasser;Alpgebäude;Bachwasserfassung;;;;Feldaufnahmen;Hanspeter Spälti, Werkführer Netstal;"Bachwasserfassung --> nicht aufgenommen
Koordinaten ungefähr nach Angaben von Gemeinde";;;;;;keine vorh.;;;Brunner;17.07.1998;38;17.07.1998;;WAHR;FALSCH;FALSCH;FALSCH
846;Dräcklochstafel;Dräckloch;Glarus;8750;714330;204760;;Gde. Glarus;1700;;71420401;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;;;;Feldaufnahmen;Kaspar Figi, Werkführer Glarus;Quelle in Hütte, nicht aufgenommen;;24;25;;;keine vorh.;;;Brunner;17.07.1998;39;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
847;Ober Längenegg 2;Ober Langenegg;Glarus;8750;714770;211280;;Gde. Ennenda;1715;50;71421102;aus Plan gelesen;Trinkwasser;Alpgebäude Ennenda;Sicker-/Zuleitung, ab Fels;gut;Pilzdeckel;Brunnenstube;Feldaufnahmen;Zeughausverwaltung Glarus, Herr Middendorf;;;;;;;keine vorh.;1;ja;R. Brunner;25.08.1998;24;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
848;Unter Längenegg;Unter Langenegg;Glarus;8750;716200;211320;;Gde. Ennenda;1570;0;71621102;aus Plan gelesen;Trinkwasser;Alpgebäude Ennenda;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Peter Jäger, WV Ennenda;;;;;;;keine vorh.;1;nein;R. Brunner;25.08.1998;40;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
849;Quelle Güntlenau;Güntlenau;Glarus;8750;718930;209600;;Röllin;940;;71820901;aus Plan gelesen;Trinkwasser;Zeltplatz;Bachwasserfassung;;;;Feldaufnahmen;Kaspar Figi, Werführer Glarus;Filteranlage vorhanden;;6;7;;;erforderlich;;;R. Brunner;26.08.1998;41;26.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
850;Quelle Unter Gramis;Unter Gramis;Hätzingen;8776;722615;203240;;Christian Buchli;650;;72220304;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;ab Fels;gut;Blech-Deckel;Brunnenstube;Feldaufnahmen;Beat Aebli, Werkführer Gde.Hätzingen;;;21;22;;;keine vorh.;2;nein;R. Brunner;28.09.1998;19;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
851;Quelle Gugger;Gugger;Hätzingen;8776;722035;201985;;Mathias Schiesser;810;0;72220101;aus Plan gelesen;Brauchwasser;Stallbrunnen;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;M. Schiesser-Gindel, Diesbach;2 Ställe;;9;10;;;keine vorh.;;nein;R. Brunner;28.09.1998;;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
852;Quelle Buholz 2;Buholz;Hätzingen;8776;722120;202355;;Gde. Hätzingen;710;0;72220210;aus Plan gelesen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube/Sammelschacht;Feldaufnahmen;Beat Aebli, Werkführer Gde.Hätzingen;1998 renoviert;;15;16;;;erforderlich;1;nein;R. Brunner;28.09.1998;21;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
853;Quelle Erlengeren;Erlengeren;Rüti;8782;720820;199700;;;;;72019903;;Trinkwasser;Ferienhäuser;Bachwasserfassung;;;;Feldaufnahmen;;im Reservoir gemessen, Schacht nicht gefunden;;;;;;keine vorh.;;;R. Brunner;01.10.1998;26;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
854;Quelle Hinterguet;Hinterguet;Rüti;8782;720510;199170;;Mathias Schuler;760;0;72019902;aus Plan gelesen;Brauchwasser;Stallbrunnen;ab Fels;sanierungsbedürftig;Steinplatten;Brunnenstube;Feldaufnahmen;;;;17;18;;;keine vorh.;1;nein;R. Brunner;01.10.1998;25;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
855;Quelle altes Rossweidhaus;Rossweid;Oberurnen;8868;719500;218020;;Fischli-Galatti, Fischberg;1255;0;71921802;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Feldaufnahmen;Fischli- Galatti, Fischberg Oberurnen;Brunnen, kein Hausanschluss;;34;35;36;;keine vorh.;1;nein;R. Brunner;01.10.1998;62;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
856;Quelle Rossweid;Rossweid;Oberurnen;8868;719475;217825;;Hillary Müller, Brunnenberg;1300;0;71921711;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Wasseraustritt;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Hillary Müller, Brunnenberg Oberurnen;Brunnen, kein Hausanschluss;;31;32;;;keine vorh.;0;nein;R. Brunner;01.10.1998;63;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
857;Quelle Stein;Stein;Oberurnen;8868;719515;218670;;Volkart, Stein;1280;0;71921803;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;ab Fels;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Volkart, Stein Oberurnen;zusätzlich eine Quelle direkt ins Reservoir, nicht messbar;;29;30;;;keine vorh.;1;nein;R. Brunner;01.10.1998;61;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
858;Alp Wärben;Wärben;Glarus;8750;714980;206110;;Aebli, Säumergut, Schänis;1405;;71420603;aus Plan gelesen;Trinkwasser;Alpgebäude;Bachwasserfassung;schlecht;Betondeckel;Brunnenstube;Feldaufnahmen;Kaspar Figi, Werkführer Glarus;;;26;;;;keine vorh.;;nein;R. Brunner;01.10.1998;42;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
859;Quelle Alp Zeinen 1;Zeinen;Glarus;8750;714900;205200;;Aebli, Säumergut, Schänis;1610;0;71420502;aus Plan gelesen;Trinkwasser;Alpgebäude, Jägerhütte;ab Fels;schlecht;keine vorh.;Brunnenstube;Feldaufnahmen;Kaspar Figi, Werkführer Glarus;;;22;23;;;keine vorh.;;nein;R. Brunner;01.10.1998;43;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
860;Quelle Alp Zeinen 2;Zeinen;Glarus;8750;714850;205200;;Aebli, Säumergut, Schänis;1600;;71420503;aus Plan gelesen;Trinkwasser;Alpgebäude, Jägerhütte;ab Fels;sanierungsbedürftig;keine vorh.;Brunnenstube;Feldaufnahmen;Kaspar Figi, Werkführer Glarus;;;19;20;21;;keine vorh.;;nein;R. Brunner;01.10.1998;44;01.10.1998;;WAHR;FALSCH;FALSCH;FALSCH
861;Kneugrat-Quelle 1;Kneugrat;Diesbach;8777;719615;202185;;Gde. Braunwald;1550;;71920202;aus Plan gelesen;Trinkwasser;WV Gemeinde Braunwald;Sicker-/Zuleitung;gut;Türe mit 4 Kant;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;Zulauf von Felsen-Quelle;;16;17;;;definitiv;1;ja;R. Brunner;02.09.1998;46;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
862;Quelle Obere Platten 2;Obere Platten;Braunwald;8784;717995;201650;;Gde. Braunwald;1795;0;71720106;aus Plan gelesen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube/Sammelschacht;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;29;30;;;definitiv;1;nein;R. Brunner;02.09.1998;49;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
863;Quelle Obere Platten 3;Obere Platten;Braunwald;8784;717955;201665;;Gde. Braunwald;1790;0;71720107;aus Plan gelesen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;31;32;;;definitiv;2;nein;R. Brunner;02.09.1998;50;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
864;Quelle Ortsstockhaus;Ober Stafel;Braunwald;8784;717440;201465;;Braunwaldbahn;1785;0;71720103;aus Plan gelesen;Trinkwasser;Restaurant;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;1;2;;;provisorich;1;nein;R. Brunner;02.09.1998;51;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
865;Quelle Braunwaldbahn;Ober Stafel;Braunwald;8784;717530;201420;;Braunwaldbahn;1770;0;71720104;aus Plan gelesen;Trinkwasser;Restaurant, Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;3;4;;;provisorich;1;nein;R. Brunner;02.09.1998;52;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
866;Quelle Kneugrat Felsen;Kneugrat;Diesbach;8777;719610;202190;;Gde. Braunwald;1550;;71920203;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Türe;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;18;19;;;definitiv;;ja;R. Brunner;02.09.1998;48;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
867;Quelle Jägerhütte Bräch;Bräch ober Stafel;Braunwald;8784;716475;200170;;Balz Streiff;1610;0;71620001;aus Plan gelesen;Trinkwasser;Jägerhütte;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;5;6;;;keine vorh.;0;nein;R. Brunner;02.09.1998;53;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
868;Quelle Schuler Brach ober Stafel;Ober Stafel;Braunwald;8784;716360;200160;;Balz Schuler;1620;;71620002;aus Plan gelesen;Trinkwasser;Alpgebäude;Bachwasserfassung;;;;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;7;;;;keine vorh.;;;R. Brunner;02.09.1998;54;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
869;Quelle Orenplatte;Orenplatte;Diesbach;8777;719910;201815;;diverse;1410;0;71920101;aus Plan gelesen;Trinkwasser;Ferienhäuser, Jägerhütte;unbekannt;sanierungsbedürftig;Holz;Brunnenstube/Reservoir;Feldaufnahmen;;;;20;;;;keine vorh.;;nein;R. Brunner;02.09.1998;56;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
870;Quelle Sitli;Sitli;Braunwald;8784;719175;200875;;Gde. Braunwald;1425;0;71920004;aus Plan gelesen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;25;26;;;erforderlich;1;nein;R. Brunner;02.09.1998;57;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
871;Quelle Höhenklinik;Niederschlacht;Braunwald;8784;718685;199850;;Höhenklinik;1255;0;71819903;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;schlecht;Eisendeckel;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;Katadyn-Filter;;14;15;16;;erforderlich;1;nein;R. Brunner;30.09.1998;59;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
872;Quelle Egglibrünnen 2;Egglibrünnen;Braunwald;8784;717580;199495;;J. Streiff, Tschudiberg;1220;0;71719903;aus Plan gelesen;Trinkwasser;Ferienhäuser, Ställe;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;;;3;4;;;keine vorh.;1;nein;R. Brunner;30.09.1998;60;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
873;Quelle Eggliwald;Eggliwald;Braunwald;8784;717515;199560;;J. Streiff, Tschudiberg;1230;;71719904;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Balz Dürst, Werkführer Braunwald;Besitzer Alphütte Balz Schuler;;5;6;;;keine vorh.;;nein;R. Brunner;30.09.1998;61;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
874;Quelle Schiesser Alp Bräch Unter Stafel;Alp Bräch unter Stafel;Braunwald;8784;717515;199645;;Heiri Schiesser, Leglerberg;1245;;71719906;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;schlecht;keine vorh.;kein Schacht;Feldaufnahmen;Heiri Schiesser, Leglerberg Braunwald;Fassung in Alphütte;;7;8;;;keine vorh.;1;nein;R. Brunner;30.09.1998;62;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
875;Kneugrat-Quelle 2;Kneugrat;Diesbach;8777;719525;202120;;Gde. Braunwald;1570;;71920204;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Türe;Brunnenstube;Archiv AFU Glarus;Balz Dürst, Werkführer Braunwald, G. Tresch Gemeinderat;3 Quellen;;14;15;;;definitiv;2;ja;R. Brunner;16.04.1998;47;02.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
876;Quelle Oberbelgisee Ober Stafel;;Luchsingen;8775;720450;204980;;Blumer Stiftung, Schwaden;1535;0;72020402;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;wird wegen schlechter Qualität ev. neu gefasst;;14;15;;;keine vorh.;1;nein;R. Brunner;27.08.1998;26;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
877;Quelle Oberblegisee Unter Stafel 2;Rietlen;Luchsingen;8775;720430;204120;;Blumer Stiftung, Schwanden;1340;0;72020404;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Eisendeckel mit 4 Kant;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;18;19;;;keine vorh.;1;nein;R. Brunner;27.08.1998;28;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
878;Quelle Bösbächi Unter Stafel;Bösbächi Unter Stafel;Luchsingen;8775;720050;203480;;Gde. Luchsingen;1160;0;72020305;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;21;22;;;keine vorh.;1;nein;R. Brunner;27.08.1998;29;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
879;Bösbächi Unter Stafel;;Luchsingen;8775;719970;203380;;Gde. Luchsingen;1170;;71920301;aus Plan gelesen;Trinkwasser;Jägerhütte;Bachwasserfassung;;Plastiktank;kein Schacht;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;8;20;;;keine vorh.;;nein;R. Brunner;27.08.1998;30;27.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
880;Alp Sever;Alp Sever;Luchsingen;8775;720330;203530;;Gebr. Figi;1165;;72020306;aus Plan gelesen;Trinkwasser;Alpgebäude;unbekannt;;;;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;vergrabener Plastiktank --> Fassung nicht sichtbar;;6;;;;keine vorh.;;;R. Brunner;04.09.1998;31;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
881;Quelle Bärensol;Bärensol;Luchsingen;8775;720670;203540;;Gebr. Figi;1145;;72020308;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;aufstossend;;;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;Fassung zur Zeit im Bau, versorgt 2 Liegenschaften;;9;10;;;keine vorh.;;;R. Brunner;04.09.1998;33;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
882;Quelle Schwändenen;Schwändenen;Luchsingen;8775;721240;202470;;Werner Figi;580;0;72120208;aus Plan gelesen;Brauchwasser;Stallbrunnen;Bachwasserfassung;sanierungsbedürftig;keine vorh.;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;34;35;36;;keine vorh.;;nein;R. Brunner;28.09.1998;34;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
883;Quelle Bränd;Brand;Luchsingen;8775;721225;203410;;Siebermann;840;0;72120301;aus Plan gelesen;Trinkwasser;Ferienhäuser;ab Fels;gut;keine vorh.;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;17;18;;;keine vorh.;;nein;R. Brunner;04.09.1998;35;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
884;Quelle Zetries;Zetries;Luchsingen;8775;721100;203855;;Erbgem. Hefti;1010;0;72120302;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;15;16;;;keine vorh.;1;nein;R. Brunner;04.09.1998;36;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
885;Quelle Genti;Frappli Steinigenbach;Luchsingen;8775;720900;204120;;Stüssi;1120;0;72020405;aus Plan gelesen;Trinkwasser;Ferienhäuser;ab Fels;sanierungsbedürftig;Blech-Deckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;13;14;;;keine vorh.;0;nein;R. Brunner;04.09.1998;37;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
886;Quelle Tschingel-Bärensol;Bärensol;Luchsingen;8775;720940;203725;;Zweifel;1105;0;72020309;aus Plan gelesen;Trinkwasser;Ferienhäuser;ab Fels;gut;Betondeckel;Brunnenstube/Reservoir;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;11;12;;;keine vorh.;;nein;R. Brunner;04.09.1998;38;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
887;Quelle 1 Schlattberg;Schlattberg;Luchsingen;8775;720600;202620;;Kurattli;1000;0;72020201;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;unbekannt;gut;Eternit;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;mit Holz überdeckt, nur Überlauf sichtbar;;;;;;definitiv;;;R. Brunner;04.09.1998;14;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
888;Quelle 2 Schlattberg;Schlattberg;Luchsingen;8775;720600;202610;;Kurattli;1000;0;72020202;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eternit;Brunnenstube/Sammelschacht;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;27;28;;;definitiv;2;nein;R. Brunner;04.09.1998;15;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
889;Quelle 3 Schlattberg;Schlattberg;Luchsingen;8775;720620;202600;;Kurattli;990;0;72020203;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eternit;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;29;30;;;definitiv;2;nein;R. Brunner;04.09.1998;16;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
890;Quelle B Schlattberg;Schlattberg;Luchsingen;8775;720590;202590;;Kurattli;990;0;72020205;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eternit;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;;;;;definitiv;0;nein;R. Brunner;28.09.1998;17;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
891;Quelle C Schlattberg;Schlattberg;Luchsingen;8775;720515;202530;;;1030;;72020206;aus Plan gelesen;;;;;;;;Fritz Dönni, Werkführer Gde. Luchsingen;Schacht nicht gefunden;;;;;;;;;Brunner;04.09.1998;18;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
892;Quelle Zollinger;Boden;Luchsingen;8775;720530;202560;;Zollinger;1030;0;72020207;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;21;22;;;keine vorh.;1;nein;R. Brunner;04.09.1998;19;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
893;Quelle Binggeli;Boden;Luchsingen;8775;720490;202650;;Binggeli Richard, Kilchberg;1065;0;72020208;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;nach Herbstrockenheit 2005 Quelle im Jan.2006 versiegt.;;19;20;;;keine vorh.;1;nein;R. Brunner;04.09.1998;20;04.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
894;Quelle Karrer;Schlattberg;Luchsingen;8775;720710;202715;;Karrer;950;0;72020209;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;3;4;;;keine vorh.;1;nein;R. Brunner;28.09.1998;21;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
895;Quelle Maurer;Schlattberg;Luchsingen;8775;720665;202685;;Maurer;975;0;72020210;aus Plan gelesen;Trinkwasser;Ferienhäuser;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;;;5;6;;;keine vorh.;1;nein;R. Brunner;28.09.1998;22;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
896;Quelle Unterer Lauiberg;Unterer Lauiberg;Luchsingen;8775;720770;202665;;Kurattli;925;0;72020211;aus Plan gelesen;Trinkwasser;Restaurant;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Fritz Dönni, Werkführer Gde. Luchsingen;Quellschacht überdeckt;;1;2;;;keine vorh.;1;nein;R. Brunner;28.09.1998;23;28.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
897;Quelle Siten (Schiesser);Siten;Linthal;8783;719600;198000;;D. Schiesser, Siten;740;0;71919802;aus Plan gelesen;Brauchwasser;Stallbrunnen;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube/Reservoir;Feldaufnahmen;Hansheiri Stüssi, Werkführer Linthal;;;22;23;24;;keine vorh.;1;nein;R. Brunner;01.09.1998;;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
898;Quelle Eggli;Eggli;Linthal;8783;718860;194760;;H.R. Reitibuch;1135;0;71819403;aus Plan gelesen;Trinkwasser;Ferienhäuser;ab Fels;gut;Alu-Deckel;Brunnenstube;Feldaufnahmen;Hansheiri Stüssi, Werkführer Linthal;Ferienhaus Sturzenegger;;14 +;16 +;18;;keine vorh.;;nein;R. Brunner;31.08.1998;37;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
899;Quelle Oberzaun;Oberzaun;Linthal;8783;718845;195290;;Tagwen Dorf;970;0;71819503;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Tagwen Dorf, Linthal;;;26;27;;;keine vorh.;1;nein;R. Brunner;31.08.1998;38;31.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
900;J4, Quelle Oberrämis;Oberrämis;Linthal;8783;717485;196630;;H.H. Zweifel;870;0;71719608;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Feldaufnahmen;Hansheiri Zweifel, Winterthur;;;34;35;;;keine vorh.;1;nein;R. Brunner;01.09.1998;39;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
901;Quelle Hohritli;Hohritli/Unterberg;Linthal;8783;717225;196895;469;Gautschi;1030;0;71719609;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube/Sammelschacht;Feldaufnahmen;Gautschi 643 37 92;;;1;2;;;keine vorh.;1;nein;R. Brunner;01.09.1998;40;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
902;Quelle Chameralp;Steinbödeli;Linthal;8783;716320;195950;;Gde. Hätzingen;1295;0;71619501;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Beat Aebli, Werkführer Gde.Hätzingen;;;11;12;;;keine vorh.;2;nein;R. Brunner;01.09.1998;41;01.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
903;Quelle Hintersand;;Linthal;8783;715630;188030;;Hansruedi Zweifel;1620;0;71518801;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Eisendeckel;Brunnenstube;Feldaufnahmen;Hansheiri Stüssi, Werkführer Linthal;keine Begehung, da Quelle wahrscheinlich überdeckt;;;;;;keine vorh.;;nein;R. Brunner;30.09.1998;42;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
904;Quelle Baumgart unter Stafel;Baumgart;Linthal;8783;718560;192870;;Kaspar Aebli, Ennenda;1570;0;71819201;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;Holz;Brunnenstube;Feldaufnahmen;Hansheiri Stüssi, Werkführer Linthal;Widder;;34;35;;;keine vorh.;;nein;R. Brunner;30.09.1998;;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
905;Quelle Baumgart ober Stafel;Baumgart;Linthal;8783;718925;192685;;Kaspar Aebli, Ennenda;1830;0;71819202;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;gut;Eisendeckel;Brunnenstube;Feldaufnahmen;Hansheiri Stüssi, Werkführer Linthal;;;33;;;;keine vorh.;;nein;R. Brunner;30.09.1998;44;30.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
906;Alp Bächi ober Stafel;Bächi ober Stafel;Linthal;8783;720260;195240;;Tagwen Dorf;1830;0;72019501;aus Plan gelesen;Trinkwasser;Alpgebäude;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Feldaufnahmen;Tagwen Dorf, Linthal;Wasser für Alp Bächi ober Stafel und Alp Hinter Durnachtal ober Stafel (Mättli);;9;10;11;;keine vorh.;2;nein;R. Brunner;29.09.1998;45;29.09.1998;;WAHR;FALSCH;FALSCH;FALSCH
